ability_id,local_language_id,short_effect,effect
42,6,"Verhindert, dass []{type:steel} Pokémon fliehen oder ausgetauscht werden können.","Solange sich ein Pokémon mit dieser Fähigkeit im Kampf befindet, werden []{type:steel} Pokémon daran gehindert zu fliehen oder ausgetauscht zu werden.

Pokémon mit der Fähigkeit []{ability:run-away} können trotzdem fliehen. Pokémon können trotzdem mit Hilfe von bestimmten Items oder Attacken ausgetauscht werden.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, erhöht sich die Chance wilden []{type:steel} Pokémon zu begegnen."
42,9,Prevents []{type:steel} opponents from fleeing or switching out.,"While this Pokémon is in battle, opposing []{type:steel}-type Pokémon cannot flee or switch out.

Pokémon with []{ability:run-away} can still flee.  Pokémon can still switch out with the use of a move or item.

Overworld: If the lead Pokémon has this ability, Steel-type Pokémon have a higher encounter rate."
43,5,Protège contre les capacités basées sur le son.,"Ce Pokémon est immunisé contre les capacités identifiées comme étant basées sur le son.

Glas de Soin n'est pas affecté.  Brouhaha empêche toujours ce Pokémon de dormir.  Ce Pokémon peut toujours recevoir un compteur de Requiem via Relais et conservera un compteur de Requiem s'il acquiert cette capacité après que Requiem ait été utilisé.

Hurlement, Spatio-Rift, Ultrason et Bâillement ne sont pas identifiés comme étant basés sur le son."
43,6,Schütz vor Schall Attacken.,"Pokémon mit dieser Fähigkeit sind immun gegen Attacken die schallbasiert sind.

[]{move:heal-bell} wird nicht verhindert. []{move:uproar} hindert die Pokémon trotzdem am [einschlafen]{mechanic:sleep}. Dieses Pokémon kann trotzdem einen []{move:perish-song} Zähler durch []{move:baton-pass} erhalten, und es wird einen Zähler behalten, wenn es die Fähigkeit nach Einsatz von []{move:perish-song} erhalten hat.

[]{move:howl}, []{move:roar-of-time}, []{move:sonic-boom} und []{move:yawn} sind keine schallbasierten Attacken."
43,9,Protects against sound-based moves.,"This Pokémon is immune to moves flagged as being sound-based.

[]{move:heal-bell} is unaffected.  []{move:uproar} still prevents this Pokémon from [sleeping]{mechanic:sleep}.  This Pokémon can still receive a Perish Song counter through []{move:baton-pass}, and will retain a Perish Song counter if it acquires this ability after Perish Song is used.

[]{move:howl}, []{move:roar-of-time}, []{move:sonic-boom}, and []{move:yawn} are not flagged as sound-based."
44,5,Restaure 1/16 des PV max après chaque tour sous la pluie.,Ce Pokémon régénère 1/16 de ses PV max après chaque tour sous la pluie.
44,6,Heilt jede Runde 1/16 der maximalen []{mechanic:hp} wenn es [regnet]{mechanic:rain}.,Pokémon mit dieser Fähigkeit heilen am Ende jeder Runde 1/16 ihrer maximalen []{mechanic:hp} wenn es [regnet]{mechanic:rain}.
44,9,Heals for 1/16 max [HP]{mechanic:hp} after each turn during [rain]{mechanic:rain}.,This Pokémon heals for 1/16 of its maximum [HP]{mechanic:hp} after each turn during [rain]{mechanic:rain}.
45,5,Invoque une tempête de sable qui dure indéfiniment dès l'entrée en combat.,"Le temps devient une tempête de sable lorsque ce Pokémon entre en combat et ne se termine que si une autre condition climatique le remplace.

Si plusieurs Pokémon avec cette capacité, Crachin, Sécheresse ou Alerte Neige sont envoyés en combat en même temps, les capacités s'activeront dans l'ordre de Vitesse, en respectant la Distorsion. Chaque capacité annulera le climat précédent, et seul le climat invoqué par le Pokémon le plus lent persistera.

En dehors des combats : Si le Pokémon de tête possède cette capacité, le taux de rencontre avec des Pokémon sauvages est réduit de moitié pendant une tempête de sable."
45,6,Beschwört beim Betreten des Kampfes einen []{mechanic:sandstorm} herauf der nicht endet.,"Das []{mechanic:weather} ändert sich zu []{mechanic:sandstorm} wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt und hört erst auf, wenn es von einem anderen []{mechanic:weather} abgelöst wird.

Wenn mehrere Pokémon mit dieser Fähigkeit, []{ability:drizzle}, []{ability:drought} oder []{ability:snow-warning} zur selben Zeit den Kampf betreten, werden die Fähigkeiten nach Reihenfolge der []{mechanic:speed} der Pokémon ausgelöst, unter Berücksichtigung von []{move:trick-room}.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen im Sandsturm nur halb so viele Pokémon auf."
45,9,Summons a [sandstorm]{mechanic:sandstorm} that lasts indefinitely upon entering battle.,"The [weather]{mechanic:weather} changes to a [sandstorm]{mechanic:sandstorm} when this Pokémon enters battle and does not end unless cancelled by another weather condition.

If multiple Pokémon with this ability, []{ability:drizzle}, []{ability:drought}, or []{ability:snow-warning} are sent out at the same time, the abilities will activate in order of [Speed]{mechanic:speed}, respecting []{move:trick-room}.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm."
46,5,Augmente le coût en PP des capacités visant le Pokémon de un point.,"Les capacités ciblant ce Pokémon consomment un PP supplémentaire.

Cette capacité se cumule si plusieurs cibles la possèdent. Elle affecte également les capacités qui échouent ou manquent leur cible. Elle ne s'applique pas aux capacités alliées qui ciblent l'ensemble du terrain ou seulement le côté du Pokémon, ni aux capacités auto-ciblées du Pokémon ; cependant, elle s'applique aux capacités alliées ciblant uniquement ce Pokémon, aux capacités alliées qui ciblent tous les autres Pokémon, et aux capacités des adversaires qui ciblent l'ensemble du terrain. Si cette capacité augmente le coût en PP d'une attaque au-delà des PP restants, l'attaque utilisera tous les PP disponibles.

Quand ce Pokémon entre en combat, tous les dresseurs participants sont informés qu'il possède cette capacité.

Sur le terrain : Si le Pokémon en tête possède cette capacité, le taux de rencontre avec des Pokémon de niveau plus élevé est augmenté."
46,6,Erhöht die []{mechanic:pp} Kosten des Gegners um 1.,"Attacken die ein Pokémon mit dieser Fähigkeit zum Ziel haben, kosten 1 []{mechanic:pp} mehr als sonst.

Die Fähigkeit löst für jeden Treffer von Attacken die öfters treffen aus. Die Fähigkeit löst auch bei Attacken aus die fehlschlagen oder daneben gehen. Der Effekt zählt nicht für Attacken desselben Teams die das Ganze Feld oder nur die eigene Seite treffen, sowie die eigenen Attacken die sich selbst treffen. Der Effekt löst dafür bei Attacken von Teammitgliedern aus die nur das Pokémon mit dieser Fähigkeit zum Ziel haben, die alle anderen zum Ziel haben und Attacken von Gegnern die das ganze Feld treffen. Wenn diese Fähigkeit die Kosten auf einen Wert erhöht, der die verbleibenden []{mechanic:pp} übersteigt, wird es alle verbrauchen.

Wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt, werden alle Trainer über diese Fähigkeit benachrichtigt.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen Pokémon mit einem höheren Level häufiger auf."
46,9,Increases the [PP]{mechanic:pp} cost of moves targetting the Pokémon by one.,"Moves targetting this Pokémon use one extra [PP]{mechanic:pp}.

This ability stacks if multiple targets have it.  This ability still affects moves that fail or miss.  This ability does not affect ally moves that target either the entire field or just its side, nor this Pokémon's self-targetted moves; it does, however, affect single-targetted ally moves aimed at this Pokémon, ally moves that target all other Pokémon, and opponents' moves that target the entire field.  If this ability raises a move's PP cost above its remaining PP, it will use all remaining PP.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased."
47,5,Réduit les dégâts des attaques de type Feu et Glace de moitié.,Ce Pokémon subit deux fois moins de dégâts des attaques de type feu et glace.
47,6,Halbiert den Schaden von []{type:fire} und []{type:ice} Attacken.,Pokémon mit dieser Fähigkeit erhält von []{type:fire} und []{type:ice} Attacken nur halben Schaden.
47,9,Halves damage from []{type:fire} and []{type:ice} moves.,This Pokémon takes half as much damage from []{type:fire}- and []{type:ice}-type moves.
48,5,Fait passer le sommeil deux fois plus rapidement.,"Ce Pokémon voit son compteur de sommeil diminuer de 2 au lieu de 1.

Si le compteur de sommeil de ce Pokémon est à 1, il tombera à 0 et le Pokémon se réveillera."
48,6,Pokémon [wachen]{mechanic:sleep} doppelt so schnell wieder auf.,"Bei Pokémon mit dieser Fähigkeit sinkt die Anzahl der Verbleibenden Runden im [Schlaf]{mechanic:sleep} pro Runde um 2 statt um 1.

Wenn der Zähler bei 1 ist fällt er auf 0 und das Pokémon [wacht auf]{mechanic:sleep}."
48,9,Makes [sleep]{mechanic:sleep} pass twice as quickly.,"This Pokémon's remaining sleep turn count falls by 2 rather than 1.

If this Pokémon's sleep counter is at 1, it will fall to 0 and then the Pokémon will wake up."
49,5,A 30 % de chance de brûler les Pokémon attaquants en cas de contact.,"À chaque fois qu'une attaque touche ce Pokémon, celui qui utilise l'attaque a 30% de chances d'être brûlé.

Hors combat : Si un Pokémon de l'équipe possède ce talent, chaque œuf de l'équipe voit son compteur de pas réduit de 2 (au lieu de 1) à chaque cycle de pas, ce qui fait éclore les œufs environ deux fois plus vite. Cet effet ne se cumule pas si plusieurs Pokémon possèdent ce talent ou Armumagma."
49,6,"Hat eine 30% Chance, bei Kontakt []{mechanic:burn} auszulösen.","Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke getroffen wird die Kontakt herstellt, besteht eine 30% Chance, den Gegner zu [verbrennen]{mechanic:burn}.

Außerhalb vom Kampf: Wenn ein Pokémon im Team diese Fähigkeit hat, wird der []{mechanic:hatch-counter} um 2 statt um 1 pro []{mechanic:step-cycle} reduziert, was dazu führt, dass Eier doppelt so schnell schlüpfen. Dieser Effekt stapelt sich nicht, wenn mehrere Pokémon diese Fähigkeit oder []{ability:magma-armor} haben."
49,9,Has a 30% chance of [burning]{mechanic:burn} attacking Pokémon on contact.,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being [burned]{mechanic:burn}.

Overworld: If any Pokémon in the party has this ability, each egg in the party has its [hatch counter]{mechanic:hatch-counter} decreased by 2 (rather than 1) each [step cycle]{mechanic:step-cycle}, making eggs hatch roughly twice as quickly.  This effect does not stack if multiple Pokémon have this ability or []{ability:magma-armor}."
50,5,Assure la réussite de la fuite lors des combats avec des Pokémon sauvages.,"Ce Pokémon parvient toujours à fuir les combats sauvages avec succès, même s'il est piégé par une capacité ou un talent."
50,6,"Stellt sicher, dass die Flucht vor wilden Pokémon gelingt.","Pokémon mit dieser Fähigkeit können immer aus Kämpfen mit wilden Pokémon fliehen, selbst wenn es durch eine Attacke oder eine Fähigkeit [gefangen]{mechanic:trapped} ist."
50,9,Ensures success fleeing from wild battles.,"This Pokémon is always successful fleeing from wild battles, even if [trapped]{mechanic:trapped} by a move or ability."
51,5,Empêche la diminution de la précision.,"Ce Pokémon ne peut pas voir sa précision réduite.

Cette capacité n'empêche pas les baisses de précision dues à des facteurs autres que les modifications de statistiques, comme la diminution de précision causée par le brouillard; elle n'empêche pas non plus l'esquive des autres Pokémon de rendre les attaques de ce Pokémon moins précises. Ce Pokémon peut encore recevoir des modificateurs de précision négatifs via Permucœur.

En dehors des combats : Si le premier Pokémon de l'équipe possède cette capacité, toute rencontre aléatoire avec un Pokémon de cinq niveaux ou plus inférieur a 50% de chances d'être ignorée."
51,6,Verhindert das [Absenken]{mechanic:stat-modifier} der []{mechanic:accuracy}.,"Pokémon mit dieser Fähigkeit kann die []{mechanic:accuracy} nicht [gesenkt]{mechanic:stat-modifier} werden.

Die Fähigkeit verhindert nur direkte [Statuswertveränderungen]{mechanic:stat-modifier}, der [Genauigkeitsverlust]{mechanic:accuracy} durch []{mechanic:fog} wird nicht verhindert, auch nicht das Erhöhen des [Fluchtwerts]{mechanic:evasion} des Gegners. Pokémon mit dieser Fähigkeit kann trotzdem negative []{mechanic:accuracy} durch []{move:heart-swap} übertragen werden.

Außerhalb vom Kampf: Wenn das erste Pokémon im Team diese Fähigkeit hat, dann hat jede Begegnung mit einem Pokémon das 5 oder mehr Level niedriger ist, eine Chance von 50% übersprungen zu werden."
51,9,Prevents [accuracy]{mechanic:accuracy} from being [lowered]{mechanic:stat-modifier}.,"This Pokémon cannot have its [accuracy]{mechanic:accuracy} [lowered]{mechanic:stat-modifier}.

This ability does not prevent any accuracy losses other than [stat modifiers]{mechanic:stat-modifiers}, such as the accuracy cut from [fog]{mechanic:fog}; nor does it prevent other Pokémon's [evasion]{mechanic:evasion} from making this Pokémon's moves less accurate.  This Pokémon can still be passed negative accuracy modifiers through []{move:heart-swap}.

Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped."
52,5,Empêche l'Attaque d'être réduite par les autres Pokémon.,"L'Attaque de ce Pokémon ne peut pas être réduite par d'autres Pokémon.

Cette capacité n'empêche pas les réductions d'Attaque provenant d'autres effets que des modificateurs de statistiques, comme la baisse d'Attaque due à une brûlure. Ce Pokémon peut encore recevoir des modificateurs d'Attaque négatifs via Permucœur ou Permuforce."
52,6,Verhindert das [Absenken]{mechanic:stat-modifier} des [Angriffs]{mechanic:attack}.,"Pokémon mit dieser Fähigkeit kann der []{mechanic:attack} nicht [gesenkt]{mechanic:stat-modifier} werden.

Die Fähigkeit verhindert nur [Statuswertveränderungen]{mechanic:stat-modifier}, der [verminderte]{mechanic:stat-modifier} []{mechanic:attack} durch []{mechanic:burn} wird nicht verhindert. Pokémon mit dieser Fähigkeit können trotzdem negative []{mechanic:accuracy} durch []{move:heart-swap} oder []{move:power-swap} übertragen werden."
52,9,Prevents [Attack]{mechanic:attack} from being [lowered]{mechanic:stat-modifiers} by other Pokémon.,"This Pokémon's [Attack]{mechanic:attack} cannot be [lowered]{mechanic:stat-modifier} by other Pokémon.

This ability does not prevent any Attack losses other than [stat modifiers]{mechanic:stat-modifiers}, such as the Attack cut from a [burn]{mechanic:burn}.  This Pokémon can still be passed negative Attack modifiers through []{move:heart-swap} or []{move:power-swap}."
53,5,"Voici la traduction :

""Ramasse les objets utilisés et lancés par d'autres Pokémon. Peut également ramasser un objet après le combat.""","À la fin de chaque tour, si un autre Pokémon a consommé ou lancé un objet tenu pendant ce tour, ce Pokémon ramasse l’objet s’il n’en tient pas déjà un. Après chaque combat, ce Pokémon a 10% de chances de trouver un objet s’il n’en tient pas déjà un.

Le ballon gonflable et le bouton fuite ne peuvent pas être ramassés.

Les objets trouvés varient selon le jeu et, depuis Pokémon Émeraude, selon le niveau du Pokémon. Cette capacité est vérifiée après la fin du combat, à ce moment-là, tous les changements de capacité temporaires sont annulés."
53,6,Hebt benutzte oder [weggeschleuderte]{move:fling} getragene Items von anderen Pokémon auf. Kann nach dem Kampf ein Item aufheben.,"Wenn ein Pokémon mit dieser Fähigkeit nicht bereits ein Item hält und ein anderes Pokémon ein getragenes Item verbraucht oder [wegschleudert]{move:fling}, hebt es das Item am Ende der Runde auf. Nach jedem Kampf besteht eine 10% Chance, dass das Pokémon ein Item aufhebt wenn es nicht bereits eines trägt.

[]{item:air-balloon} und []{item:eject-button} können nicht aufgehoben werden.

Die gefundenen Items variieren je nach Spiel und, seit Smaragd, dem Level des Pokémons mit dieser Fähigkeit. Die Fähigkeit wird überprüft wenn der Kampf endet und temporär erlangte Fähigkeiten wieder weg sind."
53,9,Picks up other Pokémon's used and [Flung]{move:fling} held items.  May also pick up an item after battle.,"At the end of each turn, if another Pokémon consumed or [Flung]{move:fling} a held item that turn, this Pokémon picks up the item if it is not already holding one.  After each battle, this Pokémon has a 10% chance of picking up an item if it is not already holding one.

The []{item:air-balloon} and []{item:eject-button} cannot be picked up.

The items that may be found vary by game, and, since Pokémon Emerald, by the Pokémon's level.  This ability is checked after the battle ends, at which point any temporary ability changes have worn off."
54,5,Saute un tour sur deux.,"À chaque deuxième tour où ce Pokémon devrait tenter d'utiliser une attaque, il ne fera rien à la place (""flemmarde"").

Flemmarder interrompt les attaques nécessitant plusieurs tours, de la même manière que la paralysie, l'hébètement, etc. La plupart de ces attaques, par exemple Patience ou Roulade, sont simplement annulées lors du flemmardage. Les attaques avec un tour de recharge, comme Ultralaser, n'ont pas besoin de se recharger ; les attaques avec un tour de préparation, comme Vol, ne sont pas utilisées. Les attaques forcées sur plusieurs tours qui continuent malgré l'échec, comme Colère, Brouhaha, ou toutes les attaques forcées par Encore, continuent comme d'habitude.

Si ce Pokémon est confus, sa confusion n'est pas vérifiée lorsqu'il flemmarde ; le Pokémon ne peut pas se blesser lui-même, et sa confusion ne prend pas fin ni ne se rapproche de sa fin.

Si ce Pokémon tente de bouger mais échoue, par exemple à cause de la paralysie ou de la gravité, cela compte toujours comme ayant bougé et il flemmardera au tour suivant. S'il ne tente pas de bouger, par exemple parce qu'il est endormi ou gelé, ce qu'il aurait fait sera reporté à sa prochaine tentative ; c'est-à-dire qu'il flemmardera ou bougera normalement, selon ce qu'il a fait en dernier.

Cette capacité ne peut pas être changée avec Étonnement, mais elle peut être désactivée avec suc de bave, changée avec Mimique ou échangée avec Échange."
54,6,Überspringt jede zweite Runde.,"Pokémon mit dieser Fähigkeit überspringen jede zweite Runde statt eine Attacke einzusetzen (""faulenzen"").

Faulenzen unterbricht Attacken die über mehrere Runden gehen genauso wie []{mechanic:paralysis}, [Zurückschrecken]{mechanic:flinching} usw. Die meisten dieser Attacken, wie []{move:bide} oder []{move:rollout}, werden einfach abgebrochen, wenn das Pokémon faulenzt. Attacken nach denen eine Runde aufgeladen werden muss, wie []{move:hyper-beam}, müssen nicht aufgeladen werden, Attacken mit Vorbereitungsrunde, wie []{move:fly}, werden nicht abgebrochen. Attacken die mehrere Runden dauern aber bei einem Fehlschlag nicht enden, wie []{move:outrage}, []{move:uproar}, oder jede von []{move:encore} erzwungene Attacke, enden nicht, wenn das Pokémon faulenzt.

Wenn das Pokémon [verwirrt]{mechanic:confusion} ist, wird die []{mechanic:confusion} nicht beachtet beim Faulenzen, das Pokémon verletzt sich nicht selbst und die []{mechanic:confusion} endet nicht früher deswegen.

Wenn das Pokémon versucht sich zu bewegen aber von []{mechanic:paralysis} oder []{move:gravity} daran gehindert wird, zählt das trotzdem als erfolgreich und es wird die nächste Runde faulenzen. Wenn es nicht versucht sich zu bewegen, weil es beispielsweise [schläft]{mechanic:sleep} oder [eingefroren]{mechanic:freezing} ist, wird das was es versucht hat verschoben bis zum nächsten Versuch, der eine Attacke oder faulenzen sein kann, abhängig davon, was es zuletzt tat.

Diese Fähigkeit kann nicht mit []{move:worry-seed} ausgetauscht werden, aber mit []{move:gastro-acid} deaktiviert, mit []{move:role-play} geändert oder mit []{move:skill-swap} getauscht werden."
54,9,Skips every second turn.,"Every second turn on which this Pokémon should attempt to use a move, it will instead do nothing (""loaf around"").

Loafing around interrupts moves that take multiple turns the same way [paralysis]{mechanic:paralysis}, [flinching]{mechanic:flinching}, etc do.  Most such moves, for example []{move:bide} or []{move:rollout}, are simply cut off upon loafing around.  Attacks with a recharge turn, such as []{move:hyper-beam}, do not have to recharge; attacks with a preparation turn, such as []{move:fly}, do not end up being used.  Moves that are forced over multiple turns and keep going through failure, such as []{move:outrage}, []{move:uproar}, or any move forced by []{move:encore}, keep going as usual.

If this Pokémon is [confused]{mechanic:confusion}, its confusion is not checked when loafing around; the Pokémon cannot hurt itself, and its confusion does not end or come closer to ending.

If this Pokémon attempts to move but fails, e.g. because of [paralysis]{mechanic:paralysis} or []{move:gravity}, it still counts as having moved and will loaf around the next turn.  If it does not attempt to move, e.g. because it is [asleep]{mechanic:sleep} or [frozen]{mechanic:freezing}, whatever it would have done will be postponed until its next attempt; that is, it will either loaf around or move as usual, depending on what it last did.

This ability cannot be changed with []{move:worry-seed}, but it can be disabled with []{move:gastro-acid}, changed with []{move:role-play}, or traded away with []{move:skill-swap}."
55,5,"Augmente la puissance des capacités physiques à 1,5×, mais réduit leur précision à 0,8×.","Les attaques physiques de ce Pokémon infligent 1,5 fois plus de dégâts, mais ont 0,8 fois leur précision habituelle.

Les attaques spéciales ne sont pas affectées. Les attaques qui infligent des dégâts fixes, comme Frappe Atlas, voient leur précision réduite mais pas leurs dégâts.

Sur le terrain : Si le Pokémon en tête a ce talent, les Pokémon de plus haut niveau sont rencontrés plus fréquemment."
55,6,"Erhöht den Schaden von physischen Attacken um 50%, aber senkt ihre []{mechanic:accuracy} auf 80% ihres sonstigen Werts.","Physische Attacken von Pokémon mit dieser Fähigkeit verursachen 1,5× so viel [Schaden]{mechanic:regular-damage} wie sonst, haben dafür aber nur 80% ihrer normalen []{mechanic:accuracy}.

Spezialattacken werden nicht beeinflusst. Attacken die festen Schaden verursachen wie []{move:seismic-toss} haben ihren normalen Schaden aber die verringerte []{mechanic:accuracy}.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen Pokémon mit einem höheren Level häufiger auf."
55,9,"Strengthens physical moves to inflict 1.5× damage, but decreases their [accuracy]{mechanic:accuracy} to 0.8×.","This Pokémon's physical moves do 1.5× as much [regular damage]{mechanic:regular-damage}, but have 0.8× their usual [accuracy]{mechanic:accuracy}.

Special moves are unaffected.  Moves that do set damage, such as []{move:seismic-toss}, have their accuracy affected, but not their damage.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased."
56,5,A 30% de chances de rendre amoureux les Pokémon attaquants au contact.,"""Lorsqu'une capacité touche ce Pokémon, l'utilisateur de la capacité a 30% de chances de tomber amoureux.

Hors combat : Si le premier Pokémon de l'équipe possède ce talent, tout Pokémon sauvage dont l'espèce peut être de l'un ou l'autre genre a une chance sur deux d'être du genre opposé, et une chance sur trois d'avoir un genre aléatoire comme d'habitude."""
56,6,Bei Kontakt besteht eine 30% Chance beim Gegner [Anziehung]{mechanic:infatuation} auszulösen.,"Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke mit Kontakt getroffen wird, besteht eine 30% Chance, dass beim Angreifer [Anziehung]{mechanic:infatuation} ausgelöst wird.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, besteht bei allen wilden Pokémon die beide Geschlechter haben können eine 2/3 Chance, vom anderen Geschlecht zu sein und eine 1/3 Chance ein zufälliges Geschlecht zu haben."
56,9,Has a 30% chance of [infatuating]{mechanic:infatuation} attacking Pokémon on contact.,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being [infatuated]{mechanic:infatuation}.

Overworld: If the first Pokémon in the party has this ability, any wild Pokémon whose species can be either gender has a 2/3 chance of being set to the opposite gender, and a 1/3 chance of having a random gender as usual."
57,5,"Augmente l'Attaque Spéciale de 1,5× lorsqu'un Pokémon allié possède Plus ou Moins.","Ce Pokémon voit son Attaque Spéciale multipliée par 1,5 si un Pokémon allié possède Plus ou Moins.

Ce bonus ne compte pas comme une modification de statistique. Si l'une de ces capacités est neutralisée par Acide Gastrique, les deux perdent leur effet."
57,6,Erhöht den []{mechanic:special-attack} um 50% wenn ein Team-Pokémon []{ability:plus} oder []{ability:minus} hat.,"Pokémon mit dieser Fähigkeit haben einen 1,5× so hohen []{mechanic:special-attack} wenn ein Team-Pokémon die Fähigkeit []{ability:plus} oder []{ability:minus} hat.

Der Bonus zählt nicht als []{mechanic:stat-modifier}. Wenn eine der Fähigkeiten deaktiviert wird, z.B. von []{move:gastro-acid}, verlieren beide ihren Effekt."
57,9,Increases [Special Attack]{mechanic:special-attack} to 1.5× when a friendly Pokémon has []{ability:plus} or []{ability:minus}.,"This Pokémon has 1.5× its [Special Attack]{mechanic:special-attack} if any friendly Pokémon has []{ability:plus} or []{ability:minus}.

This bonus does not count as a [stat modifier]{mechanic:stat-modifier}.  If either ability is disabled by []{move:gastro-acid}, both lose their effect."
58,5,"Augmente l'Attaque Spéciale de 1,5× lorsqu'un Pokémon allié possède Plus ou Moins.","Ce Pokémon a une Attaque Spéciale multipliée par 1,5 si un Pokémon allié possède plus ou moins.

Ce bonus n'est pas considéré comme une modification de statistique. Si l'une de ces capacités est désactivée par Acide Gastrique, les deux perdent leur effet."
58,6,Erhöht den []{mechanic:special-attack} um 50% wenn ein Team-Pokémon []{ability:plus} oder []{ability:minus} hat.,"Pokémon mit dieser Fähigkeit haben einen 1,5× so hohen []{mechanic:special-attack} wenn ein Team-Pokémon die Fähigkeit []{ability:plus} oder []{ability:minus} hat.

Der Bonus zählt nicht als []{mechanic:stat-modifier}. Wenn eine der Fähigkeiten deaktiviert wird, z.B. von []{move:gastro-acid}, verlieren beide ihren Effekt."
58,9,Increases [Special Attack]{mechanic:special-attack} to 1.5× when a friendly Pokémon has []{ability:plus} or []{ability:minus}.,"This Pokémon has 1.5× its [Special Attack]{mechanic:special-attack} if any friendly Pokémon has []{ability:plus} or []{ability:minus}.

This bonus does not count as a [stat modifier]{mechanic:stat-modifier}.  If either ability is disabled by []{move:gastro-acid}, both lose their effect."
59,5,Change le type et la forme de Morphéo pour correspondre au temps.,"Durant la pluie, un fort ensoleillement ou la grêle, le type de ce Pokémon change respectivement en eau, feu ou glace, et sa forme change en conséquence.

Cette capacité n’a d’effet que sur Morphéo.

Si le climat cesse ou change en un état qui ne déclenche pas cette capacité, ou si un Pokémon avec Ciel Gris ou Annule Garde entre en combat, le type et la forme de ce Pokémon reviennent à leur état par défaut. Si cette capacité est perdue ou désactivée, ce Pokémon ne peut pas changer son type et sa forme actuels tant qu’il ne retrouve pas sa capacité."
59,6,Ändert den Typ von []{pokemon:castform} zu dem des [Wetters]{mechanic:weather}.,"Während es [regnet]{mechanic:rain}, [hagelt]{mechanic:hail} oder bei [starkem Sonnenlicht]{mechanic:strong-sunlight}, ändert sich der Typ des Pokémons zu []{type:water}, []{type:ice} oder []{type:fire}, respektive. Außerdem ändert sich seine Form entsprechend.

Die Fähigkeit hat keinen Effekt für jedes andere Pokémon außer []{pokemon:castform}.

Wenn das []{mechanic:weather} endet oder sich zu einem ändert welches diese Fähigkeit nicht beeinflusst, oder wenn ein Pokémon mit []{ability:air-lock} oder []{ability:cloud-nine} den Kampf betritt, werden Typ und Form auf den Normalwert zurückgesetzt. Wenn die Fähigkeit deaktiviert oder ausgetauscht wird, kann das Pokémon seine Form nicht ändern, bis es sie wiedererlangt."
59,9,Changes []{pokemon:castform}'s type and form to match the [weather]{mechanic:weather}.,"During [rain]{mechanic:rain}, [strong sunlight]{mechanic:strong-sunlight}, or [hail]{mechanic:hail}, this Pokémon's type changes to []{type:water}, []{type:fire}, or []{type:ice}, respectively, and its form changes to match.

This ability has no effect for any Pokémon other than []{pokemon:castform}.

If the [weather]{mechanic:weather} ends or becomes anything that does not trigger this ability, or a Pokémon with []{ability:air-lock} or []{ability:cloud-nine} enters battle, this Pokémon's type and form revert to their default.  If this ability is lost or disabled, this Pokémon cannot change its current type and form until it regains its ability."
60,5,Empêche un objet tenu d'être retiré par un autre Pokémon.,"Cet objet tenu par ce Pokémon ne peut pas être retiré par d'autres Pokémon.

Les capacités offensives qui supprimeraient l'objet de ce Pokémon peuvent toujours lui infliger des dégâts, par exemple Sabotage ou Picore. Ce Pokémon peut toujours utiliser des capacités qui impliquent la perte de son propre objet, par exemple Dégommage ou Tourmagik.

En dehors des combats : Si le Pokémon en première position a ce talent, le taux de rencontre lors de la pêche est augmenté."
60,6,"Verhindert, dass ein getragenes Item von einem anderen Pokémon gestohlen werden kann.","Einem Pokémon mit dieser Fähigkeit kann ein getragenes Item nicht gestohlen werden.

Attacken die Schaden verursachen und Items entfernen verursachen immer noch Schaden, z.B. []{move:knock-off} oder []{move:pluck}. Das Pokémon kann trotzdem Attacken einsetzen die eigene Items entfernen, wie z.B. []{move:fling} oder []{move:trick}.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, erhöht sich die Erfolgsrate beim Angeln."
60,9,Prevents a held item from being removed by other Pokémon.,"This Pokémon's hold item cannot be removed by other Pokémon.

Damaging moves that would remove this Pokémon's item can still inflict damage against this Pokémon, e.g. []{move:knock-off} or []{move:pluck}.  This Pokémon can still use moves that involve the loss of its own item, e.g. []{move:fling} or []{move:trick}.

Overworld: If the lead Pokémon has this ability, the encounter rate while fishing is increased."
